usuario,genero,minutos_reproducidos
u00130,CienciaFiccion,83
u00131,Comedia,220
u00132,Animacion,226
u00133,Animacion,195
u00134,Comedia,309
u00135,CienciaFiccion,247
u00136,Romance,301
u00137,Comedia,196
u00138,Romance,295
u00139,Accion,103
u00140,Accion,422
u00141,CienciaFiccion,327
u00142,Comedia,102
u00143,Romance,245
u00144,Accion,5
u00145,Terror,208
u00146,Documental,407
u00147,Drama,321
u00148,Comedia,209
u00149,Romance,455
u00150,Romance,285
u00151,Documental,158
u00152,Drama,380
u00153,Romance,362
u00154,CienciaFiccion,320
u00155,CienciaFiccion,251
u00156,Romance,246
u00157,CienciaFiccion,279
u00158,Drama,2
u00159,Accion,196
u00160,Documental,280
u00161,CienciaFiccion,432
u00162,Romance,176
u00163,Romance,65
u00164,CienciaFiccion,30
u00165,Accion,142
u00166,Documental,405
u00167,Terror,86
u00168,Accion,282
u00169,Documental,35
u00170,CienciaFiccion,296
u00171,Drama,282
u00172,Animacion,59
u00173,CienciaFiccion,144
u00174,Accion,10
u00175,Accion,485
u00176,Drama,159
u00177,Animacion,227
u00178,Drama,122
u00179,Romance,81
u00180,CienciaFiccion,5
u00181,Documental,479
u00182,Terror,112
u00183,Romance,368
u00184,Documental,442
u00185,CienciaFiccion,146
u00186,Accion,177
u00187,Comedia,281
u00188,Animacion,436
u00189,Drama,438
u00190,Comedia,118
u00191,Terror,486
u00192,Comedia,167
u00193,Accion,120
u00194,Comedia,81
u00195,Documental,146
u00196,Accion,418
u00197,Drama,92
u00198,Documental,311
u00199,Terror,207
u00200,Romance,228
u00201,Terror,466
u00202,Accion,92
u00203,Documental,228
u00204,Accion,17
u00205,Romance,257
u00206,Accion,461
u00207,Animacion,410
u00208,Documental,154
u00209,Romance,486
u00210,Accion,488
u00211,Terror,176
u00212,Terror,215
u00213,Romance,281
u00214,Comedia,296
u00215,Animacion,12
u00216,Animacion,198
u00217,Documental,498
u00218,Romance,445
u00219,Animacion,313
u00220,Accion,69
u00221,CienciaFiccion,13
u00222,Comedia,65
u00223,Romance,240
u00224,Animacion,147
u00225,Comedia,354
u00226,Terror,56
u00227,Documental,484
u00228,Comedia,30
u00229,Comedia,105
u00230,Drama,205
u00231,Accion,269
u00232,Romance,232
u00233,Terror,466
u00234,Terror,186
u00235,Accion,382
u00236,Drama,251
u00237,Documental,251
u00238,Drama,385
u00239,Animacion,303
u00240,Accion,251
u00241,CienciaFiccion,189
u00242,Documental,316
u00243,Animacion,284
u00244,Animacion,352
u00245,Documental,176
u00246,CienciaFiccion,335
u00247,Terror,461
u00248,Accion,37
u00249,Animacion,131
u00250,Romance,253
u00251,Terror,315
u00252,Accion,48
u00253,Documental,311
u00254,Documental,156
u00255,Drama,169
u00256,CienciaFiccion,263
u00257,CienciaFiccion,262
u00258,Animacion,262
u00259,Accion,178
u00260,Animacion,500
u00261,Romance,14
u00262,Comedia,133
u00263,CienciaFiccion,1
u00264,Documental,241
u00265,Accion,5
u00266,Romance,195
u00267,Romance,371
u00268,Animacion,72
u00269,CienciaFiccion,361
u00270,CienciaFiccion,252
u00271,Romance,40
u00272,Romance,4
u00273,Accion,267
u00274,Documental,164
u00275,Terror,274
u00276,Documental,356
u00277,Romance,130
u00278,Documental,141
u00279,Romance,149
u00280,Romance,373
u00281,CienciaFiccion,434
u00282,Terror,484
u00283,Animacion,68
u00284,Romance,63
u00285,Comedia,30
u00286,Documental,240
u00287,Romance,360
u00288,Romance,53
u00289,Animacion,110
u00290,Romance,438
u00291,Terror,318
u00292,Animacion,339
u00293,Comedia,405
u00294,Terror,382
u00295,Accion,236
u00296,Accion,393
u00297,CienciaFiccion,28
u00298,CienciaFiccion,169
u00299,Terror,336
u00300,CienciaFiccion,132
u00301,Terror,110
u00302,Terror,453
u00303,Documental,345
u00304,Drama,325
u00305,Drama,262
u00306,Romance,299
u00307,Animacion,174
u00308,CienciaFiccion,76
u00309,Terror,310
u00310,Documental,139
u00311,CienciaFiccion,410
u00312,Animacion,166
u00313,Terror,440
u00314,Drama,470
u00315,Terror,230
u00316,Drama,282
u00317,Terror,205
u00318,Romance,222
u00319,Documental,325
u00320,Accion,392
u00321,Documental,435
u00322,Drama,410
u00323,Documental,147
u00324,Comedia,37
u00325,Animacion,491
u00326,CienciaFiccion,147
u00327,CienciaFiccion,76
u00328,Documental,315
u00329,Documental,356
u00330,Animacion,485
u00331,Accion,119
u00332,Drama,163
u00333,Comedia,209
u00334,Romance,458
u00335,Accion,56
u00336,Comedia,480
u00337,Documental,220
u00338,Accion,495
u00339,Animacion,87
u00340,Comedia,439
u00341,Romance,208
u00342,CienciaFiccion,247
u00343,Terror,182
u00344,Drama,153
u00345,Documental,266
u00346,Drama,347
u00347,Drama,400
u00348,Romance,210
u00349,Terror,56
u00350,Animacion,420
u00351,Drama,263
u00352,Drama,128
u00353,Documental,265
u00354,Accion,306
u00355,CienciaFiccion,111
u00356,Comedia,9
u00357,CienciaFiccion,3
u00358,Accion,424
u00359,CienciaFiccion,346
u00360,Accion,75
u00361,Documental,171
u00362,CienciaFiccion,92
u00363,Comedia,43
u00364,Comedia,95
u00365,Accion,379
u00366,Drama,256
u00367,CienciaFiccion,406
u00368,Drama,250
u00369,Comedia,412
u00370,Documental,66
u00371,Comedia,55
u00372,Comedia,95
u00373,CienciaFiccion,15
u00374,Accion,304
u00375,Documental,105
u00376,Drama,285
u00377,Accion,258
u00378,Drama,490
u00379,Accion,254
u00380,CienciaFiccion,13
u00381,CienciaFiccion,391
u00382,Terror,281
u00383,Terror,397
u00384,Terror,480
u00385,CienciaFiccion,396
u00386,Documental,261
u00387,Drama,106
u00388,Comedia,16
u00389,Accion,457
u00390,CienciaFiccion,48
u00391,Documental,183
u00392,Comedia,439
u00393,Drama,344
u00394,Comedia,155
u00395,Drama,58
u00396,Accion,320
u00397,Accion,352
u00398,Accion,319
u00399,Drama,213
u00400,Drama,26
u00401,Documental,184
u00402,Documental,12
u00403,CienciaFiccion,433
u00404,Accion,306
u00405,CienciaFiccion,455
u00406,Romance,229
u00407,Animacion,84
u00408,Drama,84
u00409,Romance,326
u00410,Romance,315
u00411,Drama,405
u00412,Drama,368
u00413,Romance,111
u00414,Accion,393
u00415,Terror,319
u00416,Documental,420
u00417,CienciaFiccion,422
u00418,CienciaFiccion,394
u00419,Terror,479
u00420,CienciaFiccion,435
u00421,Romance,118
u00422,Accion,401
u00423,Comedia,320
u00424,Comedia,405
u00425,Drama,85
u00426,CienciaFiccion,185
u00427,Accion,458
u00428,Animacion,374
u00429,Drama,174
u00430,Comedia,346
u00431,CienciaFiccion,68
u00432,Animacion,445
u00433,Animacion,412
u00434,Drama,426
u00435,Romance,370
u00436,Animacion,303
u00437,Animacion,499
u00438,Romance,298
u00439,Animacion,459
u00440,Documental,212
u00441,Terror,190
u00442,Romance,138
u00443,Drama,261
u00444,Terror,226
u00445,CienciaFiccion,88
u00446,Documental,27
u00447,Documental,109
u00448,Documental,321
u00449,Accion,454
u00450,Drama,78
u00451,Comedia,187
u00452,CienciaFiccion,450
u00453,CienciaFiccion,309
u00454,CienciaFiccion,443
u00455,Comedia,274
u00456,CienciaFiccion,287
u00457,Animacion,364
u00458,Drama,490
u00459,Animacion,309
u00460,Accion,110
u00461,Accion,190
u00462,CienciaFiccion,407
u00463,Drama,177
u00464,Drama,12
u00465,Drama,264
u00466,CienciaFiccion,298
u00467,Animacion,460
u00468,Accion,460
u00469,Accion,10
u00470,Accion,319
u00471,CienciaFiccion,198
u00472,Documental,388
u00473,Romance,188
u00474,Accion,374
u00475,Comedia,139
u00476,Terror,126
u00477,Comedia,290
u00478,Terror,37
u00479,Animacion,203
u00480,Terror,461
u00481,Accion,209
u00482,Drama,358
u00483,Comedia,156
u00484,Drama,282
u00485,Accion,391
u00486,Documental,42
u00487,Romance,101
u00488,Comedia,436
u00489,Animacion,194
u00490,Romance,444
u00491,Comedia,167
u00492,Animacion,451
u00493,Romance,385
u00494,Romance,289
u00495,Animacion,281
u00496,Accion,370
u00497,Comedia,126
u00498,Documental,323
u00499,Comedia,68
u00500,Documental,430
u00501,CienciaFiccion,403
u00502,Romance,489
u00503,Drama,375
u00504,CienciaFiccion,430
u00505,CienciaFiccion,271
u00506,Documental,107
u00507,Drama,383
u00508,Animacion,303
u00509,Animacion,415
u00510,Romance,254
u00511,Comedia,481
u00512,Documental,450
u00513,Drama,440
u00514,Romance,70
u00515,Animacion,130
u00516,Romance,431
u00517,CienciaFiccion,324
u00518,Documental,83
u00519,Comedia,434
u00520,CienciaFiccion,106
u00521,Documental,327
u00522,Comedia,299
u00523,CienciaFiccion,143
u00524,Drama,94
u00525,Comedia,364
u00526,Drama,222
u00527,Documental,479
u00528,Accion,354
u00529,CienciaFiccion,139
u00530,CienciaFiccion,119
u00531,Drama,180
u00532,Comedia,65
u00533,Accion,292
u00534,Terror,342
u00535,Documental,399
u00536,Comedia,153
u00537,Drama,494
u00538,Terror,104
u00539,Terror,81
u00540,Romance,495
u00541,Drama,220
u00542,CienciaFiccion,307
u00543,Animacion,496
u00544,Romance,185
u00545,Terror,76
u00546,Terror,127
u00547,Documental,452
u00548,Drama,352
u00549,Documental,411
u00550,Drama,253
u00551,Terror,436
u00552,Animacion,443
u00553,Animacion,335
u00554,Romance,287
u00555,Documental,96
u00556,Documental,141
u00557,Drama,417
u00558,Documental,347
u00559,Comedia,173
u00560,Accion,20
u00561,Drama,224
u00562,Documental,445
u00563,Documental,486
u00564,Accion,444
u00565,Romance,415
u00566,Documental,480
u00567,Drama,486
u00568,Accion,455
u00569,Accion,27
u00570,CienciaFiccion,394
u00571,Accion,383
u00572,Drama,314
u00573,Documental,453
u00574,Accion,409
u00575,Animacion,16
u00576,Accion,96
u00577,Romance,366
u00578,Comedia,323
u00579,Terror,500
u00580,Comedia,467
u00581,Drama,135
u00582,Terror,461
u00583,Comedia,281
u00584,Romance,41
u00585,Comedia,259
u00586,CienciaFiccion,309
u00587,CienciaFiccion,441
u00588,Terror,353
u00589,Drama,52
u00590,Comedia,418
u00591,Animacion,349
u00592,Drama,6
u00593,Comedia,166
u00594,Romance,144
u00595,Drama,436
u00596,Drama,314
u00597,Animacion,127
u00598,Comedia,11
u00599,Animacion,294
u00600,Romance,370
u00601,Animacion,375
u00602,Romance,25
u00603,CienciaFiccion,329
u00604,Accion,42
u00605,CienciaFiccion,325
u00606,Comedia,500
u00607,Comedia,58
u00608,Romance,316
u00609,Terror,390
u00610,Romance,261
u00611,Animacion,190
u00612,Documental,262
u00613,CienciaFiccion,71
u00614,Drama,449
u00615,Accion,442
u00616,Terror,162
u00617,Accion,189
u00618,Comedia,5
u00619,Terror,167
u00620,Drama,382
u00621,Documental,390
u00622,Documental,78
u00623,CienciaFiccion,306
u00624,CienciaFiccion,431
u00625,Comedia,101
u00626,Drama,258
u00627,Documental,358
u00628,Comedia,391
u00629,Romance,271
u00630,Romance,46
u00631,Comedia,179
u00632,Terror,439
u00633,Accion,432
u00634,CienciaFiccion,55
u00635,Accion,29
u00636,Comedia,496
u00637,Animacion,50
u00638,Drama,320
u00639,Accion,217
u00640,Romance,431
u00641,Drama,31
u00642,Comedia,199
u00643,Drama,192
u00644,Romance,309
u00645,Accion,244
u00646,CienciaFiccion,357
u00647,Drama,289
u00648,Accion,55
u00649,Documental,205
u00650,Romance,176
u00651,Accion,421
u00652,Documental,231
u00653,Documental,204
u00654,CienciaFiccion,171
u00655,CienciaFiccion,110
u00656,Comedia,141
u00657,Accion,63
u00658,Drama,257
u00659,Documental,130
u00660,Drama,285
u00661,Animacion,21
u00662,Romance,131
u00663,CienciaFiccion,494
u00664,Accion,393
u00665,Terror,206
u00666,Comedia,156
u00667,Comedia,319
u00668,Documental,379
u00669,Accion,84
u00670,Drama,38
u00671,Accion,26
u00672,Drama,29
u00673,Animacion,211
u00674,Terror,65
u00675,CienciaFiccion,331
u00676,CienciaFiccion,350
u00677,CienciaFiccion,398
u00678,Terror,133
u00679,Comedia,195
u00680,CienciaFiccion,77
u00681,Drama,272
u00682,Romance,160
u00683,Animacion,291
u00684,CienciaFiccion,454
u00685,Drama,337
u00686,Romance,241
u00687,Romance,482
u00688,Drama,413
u00689,CienciaFiccion,241
u00690,Romance,238
u00691,Comedia,328
u00692,CienciaFiccion,398
u00693,Accion,496
u00694,Accion,411
u00695,CienciaFiccion,453
u00696,Documental,290
u00697,Accion,70
u00698,Accion,45
u00699,Accion,471
u00700,Documental,288
u00701,Animacion,404
u00702,Terror,91
u00703,CienciaFiccion,301
u00704,CienciaFiccion,75
u00705,Comedia,239
u00706,Accion,491
u00707,Animacion,431
u00708,Romance,258
u00709,Comedia,465
u00710,Accion,389
u00711,Terror,103
u00712,Comedia,430
u00713,Drama,125
u00714,Documental,161
u00715,Accion,218
u00716,Romance,182
u00717,Terror,325
u00718,Drama,463
u00719,Documental,314
u00720,Documental,297
u00721,Drama,320
u00722,Drama,413
u00723,Terror,332
u00724,Romance,234
u00725,CienciaFiccion,8
u00726,CienciaFiccion,365
u00727,CienciaFiccion,92
u00728,Animacion,429
u00729,Romance,141
u00730,Accion,163
u00731,Terror,367
u00732,Accion,129
u00733,CienciaFiccion,492
u00734,Animacion,410
u00735,Drama,79
u00736,Terror,372
u00737,Romance,141
u00738,Drama,175
u00739,Terror,496
u00740,CienciaFiccion,339
u00741,Animacion,34
u00742,Documental,276
u00743,Drama,50
u00744,Comedia,130
u00745,CienciaFiccion,5
u00746,Terror,359
u00747,Accion,212
u00748,Documental,55
u00749,Terror,352
u00750,Animacion,107
u00751,Drama,137
u00752,Romance,483
u00753,Drama,26
u00754,Terror,376
u00755,Documental,291
u00756,Accion,148
u00757,Romance,119
u00758,Animacion,371
u00759,Documental,343
u00760,Animacion,419
u00761,Drama,441
u00762,Accion,218
u00763,Drama,99
u00764,Terror,115
u00765,Accion,190
u00766,CienciaFiccion,2
u00767,Comedia,239
u00768,Comedia,376
u00769,CienciaFiccion,451
u00770,Romance,234
u00771,Romance,144
u00772,Romance,402
u00773,Comedia,90
u00774,Accion,145
u00775,Documental,454
u00776,CienciaFiccion,347
u00777,Romance,461
u00778,Terror,25
u00779,Documental,164
u00780,CienciaFiccion,318
u00781,Documental,140
u00782,Animacion,268
u00783,Drama,344
u00784,CienciaFiccion,163
u00785,Drama,229
u00786,Documental,262
u00787,Animacion,216
u00788,Drama,330
u00789,CienciaFiccion,76
u00790,CienciaFiccion,438
u00791,Romance,140
u00792,Comedia,292
u00793,CienciaFiccion,195
u00794,Terror,435
u00795,Animacion,103
u00796,Comedia,472
u00797,Accion,298
u00798,Animacion,234
u00799,Romance,451
u00800,Terror,375
u00801,Romance,287
u00802,Comedia,104
u00803,Drama,170
u00804,Accion,223
u00805,CienciaFiccion,121
u00806,Documental,81
u00807,Drama,410
u00808,Terror,481
u00809,CienciaFiccion,216
u00810,Drama,405
u00811,Animacion,164
u00812,Terror,424
u00813,Romance,17
u00814,Accion,470
u00815,Terror,126
u00816,Documental,127
u00817,Terror,359
u00818,Romance,387
u00819,Drama,403
u00820,Terror,477
u00821,Documental,239
u00822,Animacion,464
u00823,Comedia,129
u00824,Comedia,309
u00825,Drama,118
u00826,Accion,78
u00827,Comedia,220
u00828,Comedia,455
u00829,Animacion,284
u00830,Comedia,246
u00831,Romance,393
u00832,Accion,280
u00833,Terror,329
u00834,Accion,499
u00835,Romance,208
u00836,Terror,386
u00837,Romance,109
u00838,Terror,90
u00839,Comedia,189
u00840,Accion,287
u00841,Romance,451
u00842,Accion,120
u00843,Comedia,236
u00844,Drama,133
u00845,Animacion,43
u00846,Comedia,430
u00847,Comedia,472
u00848,Drama,392
u00849,Animacion,199
u00850,Documental,341
u00851,Drama,405
u00852,Romance,400
u00853,Drama,310
u00854,Documental,383
u00855,Animacion,34
u00856,Documental,324
u00857,Documental,377
u00858,CienciaFiccion,483
u00859,Drama,291
u00860,Animacion,389
u00861,Animacion,485
u00862,Drama,366
u00863,Romance,231
u00864,CienciaFiccion,64
u00865,Romance,282
u00866,Comedia,332
u00867,Accion,113
u00868,Documental,489
u00869,CienciaFiccion,494
u00870,Drama,324
u00871,Terror,139
u00872,CienciaFiccion,425
u00873,Romance,393
u00874,CienciaFiccion,288
u00875,Drama,34
u00876,Documental,291
u00877,Documental,237
u00878,CienciaFiccion,161
u00879,Accion,51
u00880,Documental,33
u00881,Romance,417
u00882,Documental,321
u00883,Romance,384
u00884,Romance,302
u00885,CienciaFiccion,88
u00886,Documental,129
u00887,Animacion,399
u00888,CienciaFiccion,398
u00889,Animacion,237
u00890,Romance,181
u00891,Comedia,446
u00892,Drama,375
u00893,Documental,415
u00894,CienciaFiccion,256
u00895,Terror,320
u00896,Terror,215
u00897,Accion,423
u00898,Terror,388
u00899,Comedia,289
u00900,Drama,98
u00901,CienciaFiccion,5
u00902,Documental,83
u00903,Documental,451
u00904,Accion,404
u00905,Documental,299
u00906,Drama,183
u00907,Romance,2
u00908,Animacion,471
u00909,Animacion,381
u00910,Terror,157
u00911,CienciaFiccion,327
u00912,CienciaFiccion,77
u00913,Documental,333
u00914,Romance,139
u00915,Terror,368
u00916,Animacion,256
u00917,Drama,474
u00918,Animacion,97
u00919,Documental,58
u00920,CienciaFiccion,416
u00921,Terror,410
u00922,Documental,269
u00923,Comedia,50
u00924,Comedia,206
u00925,Terror,132
u00926,Terror,474
u00927,Accion,119
u00928,Comedia,49
u00929,Documental,180
u00930,CienciaFiccion,356
u00931,Romance,261
u00932,Documental,492
u00933,CienciaFiccion,54
u00934,Comedia,469
u00935,CienciaFiccion,286
u00936,Terror,173
u00937,Accion,13
u00938,Romance,186
u00939,Romance,15
u00940,Accion,163
u00941,Terror,208
u00942,Accion,363
u00943,Drama,60
u00944,Terror,58
u00945,Terror,160
u00946,Documental,296
u00947,Animacion,201
u00948,Animacion,44
u00949,Romance,232
u00950,CienciaFiccion,190
u00951,Comedia,454
u00952,CienciaFiccion,78
u00953,Animacion,192
u00954,Terror,374
u00955,Romance,191
u00956,Romance,438
u00957,Terror,251
u00958,Accion,227
u00959,Animacion,337
u00960,Animacion,140
u00961,Terror,43
u00962,Documental,211
u00963,Terror,52
u00964,Romance,281
u00965,Documental,50
u00966,Animacion,42
u00967,Documental,200
u00968,Drama,491
u00969,Drama,362
u00970,Documental,31
u00971,Documental,453
u00972,Romance,46
u00973,Accion,227
u00974,Animacion,478
u00975,Documental,118
u00976,Documental,222
u00977,CienciaFiccion,177
u00978,Animacion,374
u00979,Romance,451
u00980,Drama,151
u00981,Documental,240
u00982,Romance,11
u00983,Accion,72
u00984,Accion,486
u00985,Documental,72
u00986,Drama,369
u00987,Accion,115
u00988,Romance,152
u00989,Documental,318
u00990,Documental,200
u00991,CienciaFiccion,53
u00992,CienciaFiccion,164
u00993,Romance,98
u00994,Romance,324
u00995,Romance,470
u00996,Terror,209
u00997,Terror,400
u00998,CienciaFiccion,413
u00999,Terror,246
u01000,Comedia,239
u01001,Accion,450
u01002,Drama,250
u01003,CienciaFiccion,37
u01004,Accion,186
u01005,CienciaFiccion,217
u01006,CienciaFiccion,401
u01007,Romance,52
u01008,Documental,269
u01009,CienciaFiccion,2
u01010,Romance,63
u01011,Romance,158
u01012,Documental,7
u01013,Comedia,426
u01014,Animacion,155
u01015,Documental,104
u01016,Drama,421
u01017,Romance,140
u01018,Accion,457
u01019,Terror,60
u01020,Terror,88
u01021,Comedia,300
u01022,Drama,29
u01023,Drama,177
u01024,Documental,45
u01025,Terror,58
u01026,CienciaFiccion,119
u01027,Comedia,87
u01028,Accion,119
u01029,Accion,365
u01030,Animacion,424
u01031,Terror,185
u01032,Animacion,310
u01033,Animacion,88
u01034,Terror,32
u01035,Accion,150
u01036,Terror,258
u01037,CienciaFiccion,233
u01038,Accion,448
u01039,Animacion,33
u01040,Accion,68
u01041,Comedia,282
u01042,Romance,181
u01043,Comedia,454
u01044,Documental,462
u01045,Drama,343
u01046,Terror,163
u01047,Accion,201
u01048,Terror,430
u01049,Accion,352
u01050,CienciaFiccion,405
u01051,Animacion,2
u01052,Animacion,186
u01053,Drama,256
u01054,Animacion,328
u01055,Romance,58
u01056,Romance,262
u01057,Comedia,443
u01058,Romance,92
u01059,CienciaFiccion,450
u01060,Drama,291
u01061,CienciaFiccion,290
u01062,Documental,491
u01063,Accion,227
u01064,Accion,40
u01065,Accion,448
u01066,Romance,437
u01067,Romance,377
u01068,CienciaFiccion,80
u01069,Comedia,6
u01070,Drama,213
u01071,Terror,12
u01072,CienciaFiccion,289
u01073,Documental,213
u01074,Accion,220
u01075,Drama,116
u01076,Romance,401
u01077,Comedia,256
u01078,Drama,402
u01079,Drama,148
u01080,Drama,245
u01081,Romance,302
u01082,CienciaFiccion,41
u01083,Comedia,381
u01084,CienciaFiccion,404
u01085,Documental,69
u01086,CienciaFiccion,148
u01087,Romance,350
u01088,Comedia,182
u01089,Animacion,474
u01090,Documental,399
u01091,Romance,486
u01092,Documental,342
u01093,Documental,167
u01094,Comedia,438
u01095,Romance,323
u01096,Drama,18
u01097,Terror,307
u01098,Documental,356
u01099,Drama,232
u01100,Comedia,179
u01101,Terror,85
u01102,CienciaFiccion,99
u01103,Romance,59
u01104,Drama,75
u01105,CienciaFiccion,499
u01106,Accion,231
u01107,Romance,499
u01108,Comedia,63
u01109,Terror,131
u01110,Animacion,57
u01111,Terror,318
u01112,Terror,23
u01113,Drama,480
u01114,Comedia,256
u01115,CienciaFiccion,193
u01116,Drama,153
u01117,Comedia,266
u01118,Comedia,134
u01119,Animacion,482
u01120,Accion,305
u01121,Documental,429
u01122,Romance,49
u01123,CienciaFiccion,471
u01124,Documental,478
u01125,Romance,398
u01126,Comedia,427
u01127,Accion,193
u01128,Romance,429
u01129,CienciaFiccion,461
u01130,Documental,357
u01131,Terror,347
u01132,Terror,133
u01133,Animacion,25
u01134,Romance,433
u01135,Accion,356
u01136,Comedia,108
u01137,Documental,102
u01138,Drama,481
u01139,CienciaFiccion,40
u01140,Comedia,373
u01141,Animacion,103
u01142,Romance,95
u01143,Terror,382
u01144,Romance,222
u01145,CienciaFiccion,368
u01146,Comedia,365
u01147,Documental,54
u01148,Documental,422
u01149,Animacion,297
u01150,Animacion,12
u01151,Comedia,57
u01152,Comedia,373
u01153,Animacion,53
u01154,Drama,87
u01155,Comedia,154
u01156,Romance,303
u01157,CienciaFiccion,322
u01158,Comedia,417
u01159,CienciaFiccion,333
u01160,Romance,46
u01161,Romance,407
u01162,Documental,215
u01163,Accion,406
u01164,Accion,440
u01165,Animacion,385
u01166,Terror,383
u01167,Terror,74
u01168,Comedia,66
u01169,Romance,111
u01170,Romance,475
u01171,Documental,235
u01172,Documental,340
u01173,Drama,83
u01174,Documental,484
u01175,Documental,435
u01176,Animacion,297
u01177,Romance,230
u01178,Terror,341
u01179,Comedia,117
u01180,Animacion,297
u01181,Accion,152
u01182,Drama,123
u01183,Drama,383
u01184,CienciaFiccion,289
u01185,Accion,267
u01186,Comedia,268
u01187,CienciaFiccion,359
u01188,Terror,299
u01189,Drama,482
u01190,Terror,443
u01191,Animacion,440
u01192,Animacion,339
u01193,Accion,164
u01194,Animacion,88
u01195,Drama,31
u01196,Drama,463
u01197,Documental,321
u01198,Terror,491
u01199,Drama,412
u01200,Accion,84
u01201,Terror,43
u01202,Terror,329
u01203,Drama,478
u01204,Animacion,173
u01205,Terror,109
u01206,Drama,298
u01207,Drama,394
u01208,Documental,42
u01209,Comedia,416
u01210,Documental,360
u01211,CienciaFiccion,218
u01212,Drama,222
u01213,CienciaFiccion,495
u01214,Documental,221
u01215,Drama,166
u01216,Romance,258
u01217,Animacion,492
u01218,Romance,331
u01219,Animacion,460
u01220,Animacion,238
u01221,Comedia,212
u01222,Accion,99
u01223,Terror,258
u01224,Drama,378
u01225,Drama,190
u01226,Drama,485
u01227,Documental,473
u01228,Romance,401
u01229,Accion,433
u01230,Animacion,47
u01231,CienciaFiccion,126
u01232,Accion,192
u01233,Comedia,472
u01234,Documental,144
u01235,Romance,78
u01236,Terror,430
u01237,Animacion,226
u01238,Documental,150
u01239,Romance,432
u01240,Drama,43
u01241,Comedia,487
u01242,Documental,158
u01243,Romance,50
u01244,Documental,42
u01245,CienciaFiccion,403
u01246,Drama,165
u01247,Accion,414
u01248,Romance,88
u01249,Accion,324
u01250,Drama,196
u01251,Romance,155
u01252,Documental,57
u01253,CienciaFiccion,447
u01254,Comedia,397
u01255,Comedia,471
u01256,CienciaFiccion,263
u01257,Accion,113
u01258,Terror,220
u01259,Romance,219
u01260,Documental,412
u01261,Terror,441
u01262,Comedia,141
u01263,Comedia,472
u01264,Terror,353
u01265,Comedia,36
u01266,Comedia,368
u01267,CienciaFiccion,419
u01268,Documental,282
u01269,Documental,351
u01270,Comedia,115
u01271,Accion,393
u01272,Romance,477
u01273,CienciaFiccion,371
u01274,Animacion,264
u01275,Comedia,124
u01276,Animacion,58
u01277,Animacion,428
u01278,Terror,387
u01279,CienciaFiccion,85
u01280,Animacion,248
u01281,Documental,149
u01282,Romance,64
