usuario,genero,minutos_reproducidos
u00131,Romance,226
u00132,Comedia,495
u00133,Animacion,233
u00134,Animacion,189
u00135,Drama,351
u00136,Drama,420
u00137,Terror,413
u00138,Drama,11
u00139,Drama,399
u00140,Drama,66
u00141,Romance,341
u00142,Comedia,344
u00143,Accion,294
u00144,Accion,86
u00145,CienciaFiccion,488
u00146,Accion,131
u00147,Comedia,476
u00148,CienciaFiccion,480
u00149,Accion,142
u00150,Romance,91
u00151,CienciaFiccion,289
u00152,Comedia,207
u00153,Romance,473
u00154,Comedia,155
u00155,CienciaFiccion,394
u00156,Drama,230
u00157,Drama,248
u00158,Terror,363
u00159,Animacion,471
u00160,Accion,369
u00161,Terror,228
u00162,Documental,296
u00163,Comedia,82
u00164,Romance,432
u00165,Accion,23
u00166,Romance,376
u00167,Animacion,447
u00168,Drama,137
u00169,Romance,48
u00170,Animacion,376
u00171,Accion,151
u00172,Animacion,121
u00173,Romance,284
u00174,Accion,19
u00175,Romance,205
u00176,Comedia,433
u00177,Romance,43
u00178,Drama,243
u00179,Documental,463
u00180,Accion,109
u00181,Terror,294
u00182,CienciaFiccion,121
u00183,Romance,183
u00184,Comedia,71
u00185,Accion,115
u00186,Animacion,276
u00187,Terror,366
u00188,CienciaFiccion,279
u00189,Accion,354
u00190,Documental,82
u00191,Animacion,198
u00192,Comedia,252
u00193,Romance,398
u00194,CienciaFiccion,494
u00195,Comedia,123
u00196,Accion,401
u00197,Documental,315
u00198,Terror,57
u00199,Accion,8
u00200,Documental,114
u00201,Documental,77
u00202,Terror,224
u00203,Animacion,313
u00204,CienciaFiccion,440
u00205,Animacion,261
u00206,Drama,497
u00207,Terror,148
u00208,Drama,105
u00209,Drama,4
u00210,Documental,185
u00211,Terror,187
u00212,Accion,62
u00213,Animacion,20
u00214,Documental,399
u00215,Drama,166
u00216,Romance,480
u00217,Documental,455
u00218,Romance,11
u00219,CienciaFiccion,286
u00220,Romance,339
u00221,Accion,493
u00222,Documental,189
u00223,Terror,79
u00224,Romance,401
u00225,Animacion,356
u00226,CienciaFiccion,375
u00227,Drama,146
u00228,Romance,469
u00229,Drama,12
u00230,Drama,5
u00231,CienciaFiccion,13
u00232,Romance,226
u00233,CienciaFiccion,42
u00234,Comedia,174
u00235,CienciaFiccion,22
u00236,Drama,139
u00237,Animacion,123
u00238,CienciaFiccion,123
u00239,Drama,248
u00240,CienciaFiccion,402
u00241,Comedia,64
u00242,Drama,108
u00243,Drama,491
u00244,Terror,392
u00245,Romance,53
u00246,Romance,363
u00247,Animacion,269
u00248,Accion,18
u00249,Comedia,475
u00250,Comedia,200
u00251,Terror,49
u00252,Terror,310
u00253,Terror,134
u00254,Comedia,402
u00255,Documental,324
u00256,Documental,171
u00257,Animacion,381
u00258,Romance,376
u00259,Terror,340
u00260,Terror,218
u00261,CienciaFiccion,137
u00262,Drama,317
u00263,Romance,420
u00264,Romance,361
u00265,Documental,81
u00266,Documental,253
u00267,Terror,199
u00268,Animacion,191
u00269,Terror,130
u00270,Terror,114
u00271,Accion,312
u00272,Accion,188
u00273,Comedia,186
u00274,Comedia,264
u00275,Animacion,348
u00276,Documental,258
u00277,Animacion,66
u00278,Terror,469
u00279,Animacion,52
u00280,Animacion,176
u00281,CienciaFiccion,325
u00282,Romance,401
u00283,CienciaFiccion,430
u00284,Romance,110
u00285,Comedia,46
u00286,Documental,5
u00287,Romance,279
u00288,Drama,301
u00289,Romance,145
u00290,Animacion,376
u00291,CienciaFiccion,71
u00292,Documental,267
u00293,Romance,21
u00294,Accion,398
u00295,CienciaFiccion,48
u00296,Terror,353
u00297,Comedia,363
u00298,Drama,344
u00299,Romance,343
u00300,Romance,259
u00301,Documental,37
u00302,Terror,342
u00303,Drama,243
u00304,Terror,369
u00305,CienciaFiccion,211
u00306,Animacion,487
u00307,Drama,238
u00308,Animacion,489
u00309,Drama,459
u00310,CienciaFiccion,486
u00311,Terror,48
u00312,Animacion,362
u00313,Terror,88
u00314,Terror,446
u00315,Documental,166
u00316,Terror,372
u00317,Terror,158
u00318,Documental,413
u00319,Animacion,48
u00320,CienciaFiccion,355
u00321,CienciaFiccion,332
u00322,Documental,396
u00323,CienciaFiccion,347
u00324,Romance,347
u00325,Drama,490
u00326,Terror,495
u00327,Accion,233
u00328,Animacion,312
u00329,CienciaFiccion,168
u00330,Documental,341
u00331,Terror,263
u00332,Romance,208
u00333,CienciaFiccion,76
u00334,Animacion,220
u00335,Documental,102
u00336,Documental,254
u00337,Comedia,51
u00338,Documental,133
u00339,Terror,244
u00340,Romance,349
u00341,Comedia,323
u00342,Terror,301
u00343,Documental,54
u00344,Terror,380
u00345,Accion,284
u00346,Drama,365
u00347,Accion,445
u00348,Terror,162
u00349,Accion,399
u00350,Accion,440
u00351,CienciaFiccion,391
u00352,Documental,219
u00353,Drama,446
u00354,Documental,316
u00355,Animacion,28
u00356,CienciaFiccion,246
u00357,CienciaFiccion,47
u00358,Accion,258
u00359,Accion,65
u00360,Drama,433
u00361,Terror,173
u00362,CienciaFiccion,281
u00363,CienciaFiccion,265
u00364,Animacion,77
u00365,Accion,388
u00366,Animacion,241
u00367,Drama,419
u00368,Accion,323
u00369,Comedia,141
u00370,Documental,255
u00371,Comedia,184
u00372,Terror,393
u00373,Comedia,418
u00374,Animacion,79
u00375,Drama,150
u00376,Documental,60
u00377,Comedia,41
u00378,Accion,78
u00379,Animacion,106
u00380,Terror,473
u00381,Romance,23
u00382,CienciaFiccion,64
u00383,Accion,52
u00384,Animacion,175
u00385,Animacion,406
u00386,Accion,292
u00387,CienciaFiccion,358
u00388,Comedia,289
u00389,Terror,254
u00390,Animacion,354
u00391,Documental,447
u00392,Drama,40
u00393,Terror,367
u00394,Terror,496
u00395,Drama,394
u00396,Romance,254
u00397,Animacion,96
u00398,Accion,460
u00399,Comedia,97
u00400,Comedia,385
u00401,Accion,119
u00402,Romance,246
u00403,Accion,1
u00404,Accion,114
u00405,Accion,80
u00406,Accion,130
u00407,Terror,276
u00408,Drama,383
u00409,Documental,480
u00410,Romance,322
u00411,Drama,418
u00412,Terror,361
u00413,Drama,136
u00414,Drama,159
u00415,Terror,118
u00416,Documental,373
u00417,Drama,251
u00418,Animacion,53
u00419,Comedia,302
u00420,Terror,81
u00421,Comedia,152
u00422,Comedia,51
u00423,Comedia,228
u00424,Accion,442
u00425,Drama,491
u00426,Animacion,178
u00427,Terror,6
u00428,Documental,388
u00429,CienciaFiccion,380
u00430,CienciaFiccion,159
u00431,Accion,311
u00432,CienciaFiccion,90
u00433,Comedia,275
u00434,Accion,59
u00435,CienciaFiccion,209
u00436,Comedia,80
u00437,Romance,91
u00438,Comedia,31
u00439,Terror,40
u00440,CienciaFiccion,174
u00441,Accion,47
u00442,Documental,289
u00443,CienciaFiccion,254
u00444,Romance,450
u00445,Terror,297
u00446,Drama,292
u00447,Drama,377
u00448,Documental,362
u00449,Romance,404
u00450,Terror,204
u00451,Terror,180
u00452,Animacion,96
u00453,Documental,361
u00454,Accion,117
u00455,Romance,237
u00456,CienciaFiccion,354
u00457,CienciaFiccion,488
u00458,Animacion,354
u00459,Drama,128
u00460,Romance,199
u00461,Accion,442
u00462,Animacion,146
u00463,CienciaFiccion,323
u00464,Animacion,236
u00465,Animacion,315
u00466,Animacion,482
u00467,Comedia,64
u00468,Comedia,481
u00469,Comedia,90
u00470,CienciaFiccion,383
u00471,Animacion,422
u00472,Animacion,39
u00473,Animacion,329
u00474,Animacion,258
u00475,CienciaFiccion,96
u00476,Drama,53
u00477,Terror,353
u00478,Documental,493
u00479,Documental,411
u00480,Animacion,303
u00481,CienciaFiccion,261
u00482,Animacion,329
u00483,Romance,149
u00484,Drama,437
u00485,CienciaFiccion,104
u00486,Comedia,144
u00487,Documental,173
u00488,Accion,345
u00489,Documental,213
u00490,Terror,313
u00491,Terror,200
u00492,Accion,450
u00493,Drama,52
u00494,Accion,179
u00495,Terror,56
u00496,Comedia,349
u00497,Romance,125
u00498,Comedia,102
u00499,Animacion,13
u00500,Animacion,63
u00501,Romance,175
u00502,Drama,495
u00503,Documental,491
u00504,Terror,223
u00505,Comedia,183
u00506,Accion,381
u00507,Animacion,474
u00508,Drama,12
u00509,Comedia,346
u00510,Animacion,264
u00511,Drama,400
u00512,CienciaFiccion,296
u00513,CienciaFiccion,332
u00514,Comedia,103
u00515,CienciaFiccion,425
u00516,Documental,378
u00517,CienciaFiccion,406
u00518,Animacion,273
u00519,CienciaFiccion,163
u00520,Animacion,247
u00521,Comedia,132
u00522,Documental,257
u00523,Terror,186
u00524,Animacion,248
u00525,Drama,49
u00526,Comedia,242
u00527,Comedia,127
u00528,Romance,325
u00529,Animacion,129
u00530,Animacion,438
u00531,Drama,148
u00532,Accion,84
u00533,Romance,391
u00534,CienciaFiccion,398
u00535,Terror,57
u00536,Romance,166
u00537,Animacion,407
u00538,Accion,65
u00539,Accion,284
u00540,Romance,432
u00541,Accion,324
u00542,Comedia,186
u00543,Drama,145
u00544,Drama,153
u00545,CienciaFiccion,344
u00546,Accion,299
u00547,CienciaFiccion,367
u00548,Drama,34
u00549,Drama,330
u00550,Documental,217
u00551,Accion,475
u00552,Romance,432
u00553,Terror,89
u00554,Terror,423
u00555,Romance,385
u00556,Terror,117
u00557,Terror,371
u00558,Animacion,454
u00559,Terror,310
u00560,Documental,231
u00561,Comedia,465
u00562,Animacion,70
u00563,Documental,214
u00564,Documental,2
u00565,CienciaFiccion,228
u00566,Accion,2
u00567,Animacion,143
u00568,Accion,377
u00569,Animacion,111
u00570,Documental,300
u00571,Documental,57
u00572,Romance,418
u00573,Animacion,18
u00574,Animacion,100
u00575,Romance,246
u00576,Terror,27
u00577,Accion,37
u00578,Drama,339
u00579,Documental,261
u00580,Accion,392
u00581,Documental,459
u00582,Documental,436
u00583,Documental,403
u00584,Terror,2
u00585,CienciaFiccion,401
u00586,Romance,102
u00587,Comedia,494
u00588,Comedia,454
u00589,Animacion,255
u00590,Animacion,174
u00591,Romance,16
u00592,Romance,44
u00593,Romance,96
u00594,Terror,386
u00595,Romance,205
u00596,Animacion,82
u00597,Romance,91
u00598,Accion,344
u00599,Terror,382
u00600,Accion,85
u00601,Comedia,302
u00602,Comedia,314
u00603,Accion,23
u00604,Romance,266
u00605,Accion,340
u00606,Accion,257
u00607,Drama,183
u00608,Terror,280
u00609,Accion,427
u00610,Animacion,22
u00611,Drama,85
u00612,Terror,312
u00613,Documental,16
u00614,Accion,113
u00615,Comedia,90
u00616,Drama,125
u00617,Documental,187
u00618,Animacion,377
u00619,Comedia,40
u00620,CienciaFiccion,255
u00621,Animacion,344
u00622,CienciaFiccion,469
u00623,Documental,475
u00624,Drama,498
u00625,Documental,245
u00626,CienciaFiccion,214
u00627,Comedia,467
u00628,Documental,475
u00629,Accion,395
u00630,Documental,241
u00631,Documental,375
u00632,Comedia,452
u00633,Animacion,271
u00634,Drama,330
u00635,Terror,398
u00636,Accion,384
u00637,Romance,301
u00638,CienciaFiccion,384
u00639,CienciaFiccion,272
u00640,Romance,238
u00641,Animacion,19
u00642,Comedia,37
u00643,Animacion,466
u00644,Documental,318
u00645,Terror,487
u00646,Accion,86
u00647,Accion,236
u00648,Drama,208
u00649,Accion,270
u00650,CienciaFiccion,190
u00651,Romance,416
u00652,Animacion,71
u00653,Documental,309
u00654,CienciaFiccion,487
u00655,Romance,357
u00656,Animacion,66
u00657,Terror,331
u00658,Comedia,47
u00659,Drama,295
u00660,Drama,301
u00661,CienciaFiccion,329
u00662,Documental,359
u00663,Animacion,230
u00664,Comedia,89
u00665,Animacion,190
u00666,CienciaFiccion,326
u00667,CienciaFiccion,82
u00668,CienciaFiccion,388
u00669,Terror,469
u00670,Accion,55
u00671,Accion,31
u00672,Comedia,300
u00673,Terror,7
u00674,Romance,469
u00675,Drama,125
u00676,Terror,214
u00677,Accion,441
u00678,Documental,462
u00679,Accion,207
u00680,Animacion,3
u00681,Drama,119
u00682,Drama,361
u00683,Documental,144
u00684,Comedia,107
u00685,Terror,393
u00686,Animacion,466
u00687,CienciaFiccion,40
u00688,Romance,292
u00689,Romance,183
u00690,Terror,142
u00691,Drama,283
u00692,Drama,86
u00693,Drama,384
u00694,Drama,173
u00695,Comedia,125
u00696,Accion,299
u00697,CienciaFiccion,187
u00698,Terror,364
u00699,Animacion,100
u00700,Drama,117
u00701,Drama,157
u00702,Documental,417
u00703,Comedia,132
u00704,Drama,314
u00705,Terror,67
u00706,Romance,58
u00707,Romance,41
u00708,Comedia,457
u00709,Romance,311
u00710,Documental,403
u00711,Drama,240
u00712,Animacion,478
u00713,Accion,19
u00714,Documental,146
u00715,Drama,184
u00716,Accion,135
u00717,Comedia,14
u00718,Romance,494
u00719,Romance,244
u00720,Comedia,164
u00721,Drama,487
u00722,Drama,87
u00723,Comedia,343
u00724,Documental,408
u00725,Romance,136
u00726,Documental,141
u00727,Comedia,430
u00728,Romance,31
u00729,Drama,342
u00730,Accion,45
u00731,Comedia,86
u00732,Romance,361
u00733,Animacion,196
u00734,Terror,374
u00735,Comedia,37
u00736,CienciaFiccion,299
u00737,Accion,188
u00738,Terror,292
u00739,Accion,447
u00740,Terror,334
u00741,Comedia,157
u00742,Drama,61
u00743,CienciaFiccion,77
u00744,Comedia,437
u00745,Drama,340
u00746,Accion,326
u00747,Documental,92
u00748,Animacion,119
u00749,Accion,252
u00750,CienciaFiccion,35
u00751,Accion,369
u00752,Drama,56
u00753,Accion,339
u00754,Drama,183
u00755,Animacion,236
u00756,Documental,434
u00757,Drama,411
u00758,Romance,78
u00759,Drama,70
u00760,Comedia,278
u00761,Accion,227
u00762,Animacion,346
u00763,Romance,293
u00764,Comedia,4
u00765,Documental,349
u00766,Comedia,474
u00767,Drama,255
u00768,Romance,492
u00769,Accion,308
u00770,Terror,271
u00771,Documental,437
u00772,Terror,350
u00773,Romance,382
u00774,Comedia,181
u00775,Animacion,398
u00776,Drama,152
u00777,Terror,451
u00778,Terror,369
u00779,Documental,154
u00780,Accion,29
u00781,Romance,57
u00782,CienciaFiccion,88
u00783,CienciaFiccion,124
u00784,Documental,4
u00785,Terror,327
u00786,Drama,375
u00787,Documental,224
u00788,Romance,488
u00789,Accion,235
u00790,Romance,55
u00791,Drama,260
u00792,CienciaFiccion,110
u00793,Terror,464
u00794,CienciaFiccion,119
u00795,Drama,407
u00796,Drama,277
u00797,Comedia,344
u00798,Comedia,90
u00799,Documental,100
u00800,Drama,344
u00801,Drama,272
u00802,Documental,220
u00803,Romance,141
u00804,Animacion,59
u00805,Drama,253
u00806,Terror,125
u00807,Accion,367
u00808,Terror,363
u00809,Animacion,465
u00810,Drama,331
u00811,Terror,113
u00812,Romance,173
u00813,CienciaFiccion,391
u00814,CienciaFiccion,211
u00815,Animacion,366
u00816,CienciaFiccion,125
u00817,Accion,327
u00818,CienciaFiccion,141
u00819,Romance,61
u00820,CienciaFiccion,270
u00821,Drama,170
u00822,Terror,179
u00823,CienciaFiccion,252
u00824,Accion,148
u00825,Documental,106
u00826,Romance,483
u00827,Accion,142
u00828,Accion,103
u00829,Drama,204
u00830,Accion,105
u00831,Comedia,372
u00832,Comedia,256
u00833,Terror,160
u00834,Terror,108
u00835,CienciaFiccion,253
u00836,Romance,451
u00837,Documental,295
u00838,Documental,413
u00839,Animacion,495
u00840,Romance,21
u00841,Drama,221
u00842,Comedia,478
u00843,Terror,480
u00844,Drama,155
u00845,Animacion,380
u00846,Drama,210
u00847,Romance,143
u00848,Comedia,472
u00849,Drama,130
u00850,Terror,349
u00851,Terror,443
u00852,Animacion,231
u00853,Accion,434
u00854,Documental,410
u00855,Terror,50
u00856,Romance,257
u00857,Terror,294
u00858,Documental,33
u00859,Animacion,72
u00860,Romance,169
u00861,Accion,491
u00862,Terror,9
u00863,Terror,38
u00864,Romance,479
u00865,Terror,118
u00866,Romance,213
u00867,Documental,403
u00868,Terror,167
u00869,Romance,146
u00870,Drama,309
u00871,Drama,110
u00872,Animacion,403
u00873,Animacion,27
u00874,Comedia,76
u00875,Accion,225
u00876,Comedia,415
u00877,Documental,273
u00878,Accion,36
u00879,Animacion,324
u00880,Documental,405
u00881,Documental,6
u00882,Romance,64
u00883,Animacion,495
u00884,Terror,308
u00885,Accion,335
u00886,Accion,243
u00887,Terror,359
u00888,Comedia,309
u00889,Terror,478
u00890,Comedia,351
u00891,Drama,424
u00892,Comedia,249
u00893,Romance,25
u00894,CienciaFiccion,462
u00895,Romance,398
u00896,Terror,142
u00897,Drama,403
u00898,Drama,126
u00899,Documental,436
u00900,CienciaFiccion,36
u00901,Romance,42
u00902,Accion,145
u00903,Documental,305
u00904,Documental,366
u00905,Drama,43
u00906,Terror,183
u00907,Accion,205
u00908,CienciaFiccion,252
u00909,Documental,384
u00910,Drama,81
u00911,CienciaFiccion,488
u00912,Accion,105
u00913,Drama,99
u00914,Romance,168
u00915,Terror,28
u00916,Terror,458
u00917,Animacion,170
u00918,Romance,13
u00919,Documental,365
u00920,Animacion,189
u00921,Comedia,152
u00922,Terror,397
u00923,Drama,116
u00924,Documental,120
u00925,Animacion,443
u00926,Accion,237
u00927,Accion,80
u00928,Accion,477
u00929,Comedia,63
u00930,Romance,308
u00931,Documental,125
u00932,CienciaFiccion,401
u00933,Romance,492
u00934,Drama,334
u00935,Terror,336
u00936,Documental,67
u00937,Terror,244
u00938,Animacion,484
u00939,Animacion,326
u00940,Documental,66
u00941,Drama,423
u00942,Accion,259
u00943,CienciaFiccion,172
u00944,Terror,426
u00945,CienciaFiccion,387
u00946,Accion,350
u00947,Drama,90
u00948,Romance,391
u00949,Romance,84
u00950,CienciaFiccion,269
u00951,Drama,175
u00952,Documental,405
u00953,Drama,109
u00954,CienciaFiccion,90
u00955,CienciaFiccion,167
u00956,Documental,221
u00957,Drama,464
u00958,Animacion,82
u00959,CienciaFiccion,388
u00960,Animacion,53
u00961,Documental,211
u00962,Accion,493
u00963,Accion,150
u00964,Drama,371
u00965,Animacion,7
u00966,Drama,422
u00967,Romance,334
u00968,Accion,212
u00969,Comedia,64
u00970,Comedia,205
u00971,Documental,34
u00972,CienciaFiccion,390
u00973,Documental,357
u00974,CienciaFiccion,428
u00975,CienciaFiccion,291
u00976,Comedia,89
u00977,Comedia,232
u00978,Drama,383
u00979,Romance,396
u00980,Documental,441
u00981,Terror,339
u00982,Comedia,339
u00983,Accion,12
u00984,Animacion,380
u00985,Documental,363
u00986,Romance,412
u00987,CienciaFiccion,401
u00988,Animacion,233
u00989,Accion,12
u00990,Romance,216
u00991,Animacion,397
u00992,Romance,222
u00993,Documental,388
u00994,Drama,371
u00995,Drama,408
u00996,Accion,301
u00997,Accion,177
u00998,CienciaFiccion,295
u00999,Animacion,439
u01000,Accion,348
